"";"ID";"MES_MED";"OLA";"SEXO";"EDAD";"RANGOEDAD";"REGION";"ZONA";"DISTRITO_ELECTORAL";"GSE_COD2";"P1";"P1B";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10_1";"P10_2";"P10_3";"P13_1";"P14";"P15";"P20";"P29XPARTIDARIO";"P32XMARZO";"P41";"P69";"P71";"P162";"P264";"P265X2";"P286";"P287";"P288";"P289";"P290";"P291";"P292";"P293";"P257";"P258X1";"P258X2";"P258X3";"P258X4";"P258X5";"P258X6";"P258X7";"PONDERADOR2"
"12";176;"202111";"2";"Mujer";"34";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 8";"GSE-C3";"No estoy seguro/a";"Estancado";"Regular";"Mejor que hace un año";"Igual que hoy";"Regular";"Peor que hace un año";"Igual que hoy";"Desapruebo";"Desapruebo";"P10-Cuidado Medio ambiente / Naturaleza";"P10-Gestión del Gobierno";"P10-Inflación - alza de precios";"Izquierda";"Ninguna";"Muy feliz";"Sí";"Opositor del gobierno";"Poco preocupado";"Bajo riesgo";"Sólo labores en el hogar – Jefa/Jefe de hogar – Dueña";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Confianza";"Bueno";"P286-Gabriel Boric";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-Gabriel Boric";"P292-No sabe";"P293-Muy decidido";"3";NA;NA;"$470 mil a $818 mil";NA;NA;NA;NA;0,439419797
"13";177;"202111";"2";"Mujer";"25";"18 a 30 años";"Metropolitana de Santiago";"RM";"Distrito electoral 11";"GSE-C1";"La dirección incorrecta";"En retroceso";"Regular";"Peor que hace un año";"No sé";"Buena";"Igual que hace un año";"No sé";"Desapruebo";"No sé";"P10-Narcotráfico";"P10-Delincuencia";"P10-Terrorismo";"Derecha";"Partido Republicano (Jose Antonio Kast)";"Feliz";"Sí";"Partidario del gobierno";"Mediamente preocupado";"Bajo riesgo";"Sólo estudiando";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Nada de confianza";"Muy malo";"P286-José Antonio Kast";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Muy decidido";"4";NA;NA;NA;"$3,1 millones a $5,3 millones";NA;NA;NA;0,632816964
"14";178;"202111";"2";"Hombre";"22";"18 a 30 años";"Los Lagos";"SUR";"Distrito electoral 26";"GSE-D";"La dirección incorrecta";"Estancado";"Regular";"Peor que hace un año";"Mejor que hoy";"Regular";"Igual que hace un año";"Mejor que hoy";"Desapruebo";"Desapruebo";"P10-Estabilidad Política";"P10-Gestión del Gobierno";"P10-Justicia/Sistema Judicial";"Centro";"Partido de la gente";"Medianamente feliz";"Sí";"Opositor del gobierno";"Nada preocupado";"Bajo riesgo";"Sólo estudiando";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Poca confianza";"Malo";"P286-Gabriel Boric";NA;"P288-Estoy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-No";NA;"P292-Gabriel Boric";"P293-Muy decidido";"4";NA;NA;NA;"$329 mil a $574 mil";NA;NA;NA;3,119339655
"15";181;"202111";"2";"Mujer";"45";"41 a 50 años";"Metropolitana de Santiago";"RM";"Distrito electoral 12";"GSE-D";"La dirección incorrecta";"Estancado";"Mala";"Peor que hace un año";"Peor que hoy";"Mala";"Peor que hace un año";"Peor que hoy";"Desapruebo";"Desapruebo";"P10-Corrupción";"P10-Delincuencia";"P10-Inflación - alza de precios";"Sin Posición Política";"Independiente";"Poco feliz";"Sí";"Ni partidario, ni opositor. Independiente";"Preocupado";"Alto riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mucha confianza";"Regular";"P286-Nulo/Blanco";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy poco interesado";"P290-Si";"P291-Vote nulo / blanco";"P292-José Antonio Kast";"P293-Medianamente decidido";"4";NA;NA;NA;"$329 mil a $574 mil";NA;NA;NA;0,681465698
"16";182;"202111";"2";"Hombre";"32";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 10";"GSE-C2";"No estoy seguro/a";"Estancado";"Regular";"Peor que hace un año";"No sé";"Regular";"Peor que hace un año";"No sé";"No sé";"Desapruebo";"P10-Delincuencia";"P10-Vivienda";"P10-Sueldos";"Derecha";"Partido Republicano (Jose Antonio Kast)";"Feliz";"No";"Ni partidario, ni opositor. Independiente";"Muy preocupado";"Mediano riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Poca confianza";"Regular";"P286-José Antonio Kast";NA;"P288-Estoy muy seguro de que NO Iré a votar";"P289-Estoy muy interesado";"P290-No";NA;"P292-José Antonio Kast";"P293-Muy decidido";"2";NA;"$617 mil a $1,0 millones";NA;NA;NA;NA;NA;0,220370836
"17";183;"202111";"2";"Hombre";"32";"31 a 40 años";"Libertador General Bernardo OHiggins";"CENTRO";"Distrito electoral 15";"GSE-C3";"No estoy seguro/a";"Estancado";"Mala";"Peor que hace un año";"Peor que hoy";"Mala";"Peor que hace un año";"Igual que hoy";"Desapruebo";"Desapruebo";"P10-Delincuencia";"P10-Gestión del Gobierno";"P10-Inflación - alza de precios";"Sin Posición Política";"Ninguna";"Medianamente feliz";"Sí";"Opositor del gobierno";"Mediamente preocupado";"Bajo riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mediana confianza";"Regular";"P286-No sabe";"P287-No sabe";"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy interesado";"P290-Si";"P291-Franco Parisi";"P292-No sabe";"P293-Medianamente decidido";"4";NA;NA;NA;"$575 mil a $1,0 millones";NA;NA;NA;1,031602552
"18";184;"202111";"2";"Mujer";"34";"31 a 40 años";"Biobío";"SUR";"Distrito electoral 20";"GSE-C1";"La dirección incorrecta";"En retroceso";"Mala";"Peor que hace un año";"Mucho peor que hoy";"Mala";"Peor que hace un año";"Peor que hoy";"Desapruebo";"Desapruebo";"P10-Seguridad Pública";"P10-Estabilidad Política";"P10-Delincuencia";"Derecha";"Ninguna";"Poco feliz";"Sí";"Ni partidario, ni opositor. Independiente";"Mediamente preocupado";"Mediano riesgo";"Cesante, no tengo trabajo";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Nada de confianza";"Muy malo";"P286-José Antonio Kast";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Muy decidido";"3";NA;NA;"$819 mil a $1,4 millones";NA;NA;NA;NA;0,564339657
"19";185;"202111";"2";"Hombre";"25";"18 a 30 años";"Metropolitana de Santiago";"RM";"Distrito electoral 10";"GSE-C3";"No estoy seguro/a";"Estancado";"Regular";"Mejor que hace un año";"Mejor que hoy";"Regular";"Mejor que hace un año";"Mejor que hoy";"Apruebo";"Apruebo";"P10-Corrupción";"P10-Vivienda";"P10-Inflación - alza de precios";"Derecha";"Partido Republicano (Jose Antonio Kast)";"Medianamente feliz";"No";"Opositor del gobierno";"Mediamente preocupado";"Mediano riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Poca confianza";"Malo";"P286-José Antonio Kast";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Decidido";"5";NA;NA;NA;NA;"$672 mil a $1,1 millones";NA;NA;1,061756924
"20";186;"202111";"2";"Mujer";"25";"18 a 30 años";"Metropolitana de Santiago";"RM";"Distrito electoral 12";"GSE-C3";"La dirección correcta";"Progresando";"Muy buena";"Mucho mejor que hace un año";"Mucho mejor que hoy";"Muy buena";"Mucho mejor que hace un año";"Mejor que hoy";"Apruebo";"Apruebo";"P10-Economía";"P10-Vivienda";"P10-Sueldos";"Derecha";"Partido Republicano (Jose Antonio Kast)";"Medianamente feliz";"Sí";"Partidario del gobierno";"Muy preocupado";"Alto riesgo";"Sólo labores en el hogar – Jefa/Jefe de hogar – Dueña";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Confianza";"Bueno";"P286-José Antonio Kast";NA;"P288-Estoy seguro de que SÍ iré a votar";"P289-Estoy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Muy decidido";"3";NA;NA;"$470 mil a $818 mil";NA;NA;NA;NA;0,58285773
"21";187;"202111";"2";"Mujer";"43";"41 a 50 años";"Metropolitana de Santiago";"RM";"Distrito electoral 11";"GSE-C1";"La dirección incorrecta";"Estancado";"Regular";"Mucho mejor que hace un año";"Mejor que hoy";"Muy buena";"Igual que hace un año";"Mejor que hoy";"Apruebo";"Desapruebo";"P10-Salud";"P10-Seguridad Pública";"P10-Inmigración";"Sin Posición Política";"Partido Republicano (Jose Antonio Kast)";"Muy feliz";"Sí";"Ni partidario, ni opositor. Independiente";"Muy preocupado";"Alto riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Poca confianza";"Malo";"P286-José Antonio Kast";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Muy decidido";"4";NA;NA;NA;"$5,4 millones o más";NA;NA;NA;0,479549936
"22";188;"202111";"2";"Mujer";"24";"18 a 30 años";"Valparaíso";"CENTRO";"Distrito electoral 6";"GSE-D";"No estoy seguro/a";"Estancado";"Regular";"Peor que hace un año";"No sé";"Mala";"Peor que hace un año";"Igual que hoy";"Desapruebo";"Desapruebo";"P10-Salud";"P10-Pensiones - Jubilaciones";"P10-Corrupción";"Sin Posición Política";"Partido de la gente";"Medianamente feliz";"No";"Ni partidario, ni opositor. Independiente";"Mediamente preocupado";"Bajo riesgo";"Cesante, no tengo trabajo";"Empeorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Poca confianza";"Regular";"P286-Gabriel Boric";NA;"P288-Estoy seguro de que SÍ iré a votar";"P289-Estoy medianamente interesado";"P290-Si";"P291-No recuerda";"P292-Gabriel Boric";"P293-Decidido";"3";NA;NA;"$269 mil a $469 mil";NA;NA;NA;NA;2,113459008
"23";189;"202111";"2";"Mujer";"40";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 10";"GSE-C3";"La dirección incorrecta";"Estancado";"Regular";"Mejor que hace un año";"Igual que hoy";"Regular";"Mejor que hace un año";"Mejor que hoy";"Apruebo";"Apruebo";"P10-Delincuencia";"P10-Desigualdad / Distribución ingreso";"P10-Inflación - alza de precios";"Centro Derecha";"Ninguna";"Feliz";"No";"Ni partidario, ni opositor. Independiente";"Mediamente preocupado";"Mediano riesgo";"Sólo labores en el hogar – Jefa/Jefe de hogar – Dueña";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Nada de confianza";"Regular";"P286-No votará";NA;"P288-Estoy muy seguro de que NO Iré a votar";"P289-Estoy muy interesado";"P290-No";NA;"P292-Gabriel Boric";"P293-Nada decidido";"4";NA;NA;NA;"$575 mil a $1,0 millones";NA;NA;NA;0,439419797
"24";190;"202111";"2";"Hombre";"36";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 10";"GSE-C2";"La dirección correcta";"En retroceso";"Regular";"Peor que hace un año";"Mejor que hoy";"Regular";"Mejor que hace un año";"Mucho mejor que hoy";"Desapruebo";"Desapruebo";"P10-Vivienda";"P10-Derechos Humanos";"P10-Sueldos";"Sin Posición Política";"Independiente";"Medianamente feliz";"No";"Opositor del gobierno";"Preocupado";"Alto riesgo";"Trabajando remotamente, haciendo teletrabajo desde mi casa";"Mejorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mediana confianza";"Regular";"P286-Gabriel Boric";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-Gabriel Boric";"P292-Gabriel Boric";"P293-Muy decidido";"5";NA;NA;NA;NA;"$1,2 millones a $2,0 millones";NA;NA;0,220370836
"25";191;"202111";"2";"Mujer";"35";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 14";"GSE-C3";"La dirección correcta";"Estancado";"Regular";"Igual que hace un año";"Igual que hoy";"Regular";"Igual que hace un año";"Igual que hoy";"Apruebo";"Desapruebo";"P10-Pensiones - Jubilaciones";"P10-Educación";"P10-Inmigración";"Centro";"Independiente";"Feliz";"Sí";"Partidario del gobierno";"Preocupado";"Mediano riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Nada de confianza";"Malo";"P286-José Antonio Kast";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Muy decidido";"3";NA;NA;"$470 mil a $818 mil";NA;NA;NA;NA;0,439419797
"26";192;"202111";"2";"Hombre";"43";"41 a 50 años";"Metropolitana de Santiago";"RM";"Distrito electoral 8";"GSE-C3";"La dirección correcta";"Progresando";"Regular";"Mejor que hace un año";"Mejor que hoy";"Regular";"Mejor que hace un año";"Mejor que hoy";"Desapruebo";"Desapruebo";"P10-Pensiones - Jubilaciones";"P10-Gestión del Gobierno";"P10-Pobreza";"Sin Posición Política";"Partido Republicano (Jose Antonio Kast)";"Muy feliz";"Sí";"Ni partidario, ni opositor. Independiente";"Nada preocupado";"Bajo riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mucha confianza";"Bueno";"P286-José Antonio Kast";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Muy decidido";"1";"$380 mil a $661 mil";NA;NA;NA;NA;NA;NA;0,431036506
"27";194;"202111";"2";"Mujer";"30";"18 a 30 años";"Libertador General Bernardo OHiggins";"CENTRO";"Distrito electoral 15";"GSE-D";"No estoy seguro/a";"Estancado";"Regular";"Igual que hace un año";"Peor que hoy";"Mala";"Peor que hace un año";"Mejor que hoy";"No sé";"No sé";"P10-Delincuencia";"P10-Inmigración";"P10-Sueldos";"Centro Derecha";"Chile Vamos (UDI – RN – EVOPOLI – PRI)";"Medianamente feliz";"No";"Ni partidario, ni opositor. Independiente";"Preocupado";"Mediano riesgo";"Cesante, no tengo trabajo";"Empeorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Nada de confianza";"Muy malo";"P286-José Antonio Kast";NA;"P288-Estoy seguro de que SÍ iré a votar";"P289-Estoy medianamente interesado";"P290-Si";"P291-José Antonio Kast";"P292-José Antonio Kast";"P293-Decidido";"4";NA;NA;NA;"$329 mil a $574 mil";NA;NA;NA;2,113459008
"28";195;"202111";"2";"Mujer";"36";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 14";"GSE-D";"La dirección incorrecta";"Estancado";"Mala";"Igual que hace un año";"Mejor que hoy";"Muy mala";"Peor que hace un año";"Igual que hoy";"Desapruebo";"Desapruebo";"P10-Salud";"P10-Educación";"P10-Gestión del Gobierno";"Sin Posición Política";"Partido de la gente";"Medianamente feliz";"Sí";"Ni partidario, ni opositor. Independiente";"Preocupado";"Bajo riesgo";"Sólo labores en el hogar – Jefa/Jefe de hogar – Dueña";"Mantenido igual";"Con los ingresos de dinero que tenemos actualmente en el mes";"Mucha confianza";"Bueno";"P286-Gabriel Boric";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy muy interesado";"P290-Si";"P291-Franco Parisi";"P292-Gabriel Boric";"P293-Muy decidido";"5";NA;NA;NA;NA;"$385 mil a $671 mil";NA;NA;0,768356902
"29";196;"202111";"2";"Mujer";"38";"31 a 40 años";"Metropolitana de Santiago";"RM";"Distrito electoral 12";"GSE-E";"No estoy seguro/a";"Estancado";"Regular";"Igual que hace un año";"Peor que hoy";"Regular";"Mejor que hace un año";"Mejor que hoy";"Apruebo";"Apruebo";"P10-Salud";"P10-Inmigración";"P10-Vivienda";"Sin Posición Política";"Ninguna";"Muy feliz";"Sí";"Ni partidario, ni opositor. Independiente";"Preocupado";"Bajo riesgo";"Trabajando presencialmente en mi lugar de trabajo";"Empeorando";"Con los ingresos de dinero que tenemos actualmente en el mes";"Nada de confianza";"Muy malo";"P286-Nulo/Blanco";NA;"P288-Estoy muy seguro de que SÍ iré a votar";"P289-Estoy nada interesado";"P290-Si";"P291-Sebastián Sichel";"P292-José Antonio Kast";"P293-Nada decidido";"4";NA;NA;NA;"$0 a $328 mil";NA;NA;NA;0,768356902
