"Marca.temporal";"p1.movsocial";"p1.militarcarabinero";"p1.declaragob";"p1.manifestantes";"p1.saqueos";"p1.cosena";"p1.gabinete";"p1.antiencapuchados";"p1.antisaqueos";"p1.antibarricadas";"p1.barricadas";"p1.bailapasa";"p1.huelgaparo";"p2.marchas";"p2.cacerolazos";"p2.redessociales";"p2.cabildos";"p3.pensiones";"p3.salud";"p3.educacion";"p3.trabajo";"p3.seguridad";"p3.nuevaconstitucion";"p3.justicia";"p3.ddhh";"p3.vivienda";"p3.medioambiente";"p4.renuncia";"p4.plebiscitoconstitucion";"p4.plebiscitoreformas";"p4.acuerdogobparlamentarios";"p4.acuerdogobpartidos";"p4.asambleaconstituyente";"p5";"p6";"p7.presidencia";"p7.ministerios";"p7.diputados";"p7.senadores";"p7.pjud";"p7.tc";"p7.ffaa";"p7.carabineros";"p7.pdi";"p7.municipalidades";"p7.partidos";"p7.indh";"p7.empresariado";"p7.sindicatos";"p7.juntasvecinales";"p7.universidades";"p8.tvn";"p8.canal13";"p8.mega";"p8.chv";"p8.lared";"p8.cooperativa";"p8.biobio";"p8.adn";"p8.elmercurio";"p8.latercera";"p8.lun";"p8.lacuarta";"p8.lasegunda";"p8.eldesconcierto";"p8.elmostrador";"p9.rtc";"p9.iqqtv";"p9.laestrella";"p9.ellongino";"p9.paulina";"p9.caribe";"p9.neura";"p9.lamega";"p9.municipal";"p10.noticiastv";"p10.diarios";"p10.radios";"p10.wapp";"p10.facebook";"p10.twitter";"p10.instagram";"p10.vecinos";"p10.amigos";"edad";"sexo";"educacion";"comuna";"actividad";"ingresos"
"13/11/2019 15:28:12";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Frecuentemente";"Frecuentemente";"Siempre";"Frecuentemente";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"De acuerdo";"Muy de acuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema mixto";"1. Nada de confianza";"2";"3";"2";"4";"5";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"3";"3";"5";"1. Nada de confianza";"5";"6";"6";"A veces";"A veces";"Frecuentemente";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Frecuentemente";"A veces";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"6";"7. Mucha confianza";"7. Mucha confianza";"7. Mucha confianza";"5";"6";22;"Mujer";"Universitaria incompleta";"Iquique";"Estudiante";"Entre $250.000 y $499.999"
"13/11/2019 15:37:12";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Nunca";"Nunca";"Nunca";"Nunca";"7. Alta prioridad";"6";"1. Baja prioridad";"3";"2";"1. Baja prioridad";"4";"3";"2";"1. Baja prioridad";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"Esperas las elecciones y hacer AC";"No es necesario modificar el sistema de pensiones";"3";"2";"2";"2";"6";"4";"7. Mucha confianza";"7. Mucha confianza";"7. Mucha confianza";"3";"1. Nada de confianza";"1. Nada de confianza";"5";"1. Nada de confianza";"3";"1. Nada de confianza";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"A veces";"A veces";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"3";"3";"3";"2";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"2";"2";22;"Hombre";"Enseñanza media completa";"Iquique";"Estudiante";"Entre $500.000 y $749.999"
"13/11/2019 15:40:14";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"A veces";"A veces";"Frecuentemente";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"1. Baja prioridad";"5";"5";"7. Alta prioridad";"6";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Muy en desacuerdo";"Convención Constituyente (fórmula mixta)";"Cuenta individual";"6";"6";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"6";"6";"6";"3";"3";"2";"4";"1. Nada de confianza";"1. Nada de confianza";"3";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Nunca";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"A veces";"Nunca";"Nunca";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"A veces";"5";"5";"5";"2";"2";"3";"2";"1. Nada de confianza";"1. Nada de confianza";43;"Mujer";"Universitaria completa";"Iquique";"⁸";"Entre $1.500.000 y $2.999.999"
"13/11/2019 15:40:33";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"A veces";"A veces";"Siempre";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"6";"7. Alta prioridad";"7. Alta prioridad";"1. Baja prioridad";"6";"5";"7. Alta prioridad";"2";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Convención Constituyente (fórmula mixta)";"Sistema de reparto";"3";"5";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"3";"7. Mucha confianza";"7. Mucha confianza";"7. Mucha confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"4";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"Nunca";"Frecuentemente";"Frecuentemente";"Nunca";"A veces";"Nunca";"Siempre";"Nunca";"Frecuentemente";"Frecuentemente";"A veces";"Nunca";"Siempre";"Nunca";"Siempre";"Frecuentemente";"A veces";"Siempre";"Nunca";"Frecuentemente";"Frecuentemente";"Nunca";"Nunca";"A veces";"4";"6";"3";"2";"1. Nada de confianza";"5";"5";"1. Nada de confianza";"7. Mucha confianza";47;"Hombre";"Postgrado";"Iquique";"Trabajador/a dependiente";"Entre $250.000 y $499.999"
"13/11/2019 15:41:03";"Muy de acuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"5";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"6";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema mixto";"3";"2";"3";"3";"4";"4";"3";"1. Nada de confianza";"2";"5";"2";"5";"2";"4";"5";"5";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Frecuentemente";"Nunca";"A veces";"Siempre";"Frecuentemente";"A veces";"Nunca";"Nunca";"Nunca";"A veces";"2";"4";"5";"2";"2";"6";"2";"2";"5";40;"Hombre";"Universitaria completa";"Iquique";"Trabajador/a dependiente";"Entre $1.000.000 y $1.249.999"
"13/11/2019 15:42:00";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"Nunca";"Nunca";"A veces";"Frecuentemente";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"4";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"Panel de expertos/as";"Sistema de reparto";"5";"5";"3";"3";"6";"6";"6";"6";"6";"3";"3";"5";"5";"4";"6";"6";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"A veces";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"Frecuentemente";"Frecuentemente";"Siempre";"Frecuentemente";"Frecuentemente";"Nunca";"Nunca";"Nunca";"Nunca";"5";"6";"6";"3";"2";"2";"2";"3";"4";42;"Mujer";"Postgrado";"Iquique";"Trabajador/a dependiente";"Entre $750.000 y $999.999"
"13/11/2019 15:42:00";"De acuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Nunca";"Nunca";"Nunca";"A veces";"6";"7. Alta prioridad";"6";"5";"7. Alta prioridad";"4";"6";"4";"7. Alta prioridad";"6";"En desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Convención Constituyente (fórmula mixta)";"No es necesario modificar el sistema de pensiones";"4";"4";"4";"4";"4";"4";"5";"3";"4";"4";"1. Nada de confianza";"2";"4";"3";"3";"2";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"Frecuentemente";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"3";"3";"4";"2";"2";"2";"2";"3";"4";49;"Hombre";"Universitaria completa";"Iquique";"Trabajador/a dependiente";"Entre $750.000 y $999.999"
"13/11/2019 15:45:27";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Frecuentemente";"Frecuentemente";"A veces";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Asamblea Constituyente";"Sistema de reparto";"1. Nada de confianza";"2";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"2";"2";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"2";"2";"2";"A veces";"Frecuentemente";"Nunca";"Frecuentemente";"Nunca";"Siempre";"Siempre";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"Nunca";"A veces";"Siempre";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"3";"5";"5";"4";"5";"6";"5";"4";"4";28;"Hombre";"Postgrado";"Iquique";"Trabajador/a dependiente";"Entre $750.000 y $999.999"
"13/11/2019 15:47:45";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"A veces";"Frecuentemente";"Frecuentemente";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"3";"4";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"No es necesaria una Nueva Constitución";"Sistema de reparto";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"2";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"5";"1. Nada de confianza";"4";"5";"4";"Nunca";"Nunca";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"1. Nada de confianza";"3";"3";"1. Nada de confianza";"5";"7. Mucha confianza";"2";"2";"3";31;"Hombre";"Universitaria completa";"Iquique";"Trabajador/a dependiente";"Entre $1.000.000 y $1.249.999"
"13/11/2019 15:53:33";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"A veces";"Frecuentemente";"Frecuentemente";"Frecuentemente";"5";"2";"1. Baja prioridad";"3";"3";"1. Baja prioridad";"4";"5";"6";"7. Alta prioridad";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema mixto";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"4";"6";"1. Nada de confianza";"5";"1. Nada de confianza";"4";"3";"3";"A veces";"A veces";"A veces";"A veces";"A veces";"Siempre";"Siempre";"Siempre";"A veces";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"A veces";"A veces";"A veces";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"A veces";"1. Nada de confianza";"4";"5";"4";"3";"3";"3";"4";"5";35;"Mujer";"Enseñanza media incompleta";"Iquique";"Trabajador/a dependiente";"Entre $250.000 y $499.999"
"13/11/2019 15:57:53";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Frecuentemente";"Frecuentemente";"Siempre";"A veces";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"6";"6";"6";"6";"6";"6";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Cuenta individual";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"3";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"3";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"3";"3";"3";"A veces";"Nunca";"A veces";"Nunca";"Nunca";"A veces";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Siempre";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"Frecuentemente";"1. Nada de confianza";"4";"4";"4";"3";"3";"4";"6";"6";29;"Mujer";"Universitaria completa";"Iquique";"Trabajador/a independiente";"Entre $750.000 y $999.999"
"13/11/2019 15:58:13";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"5";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema mixto";"1. Nada de confianza";"1. Nada de confianza";"2";"2";"3";"3";"3";"3";"3";"4";"2";"6";"3";"3";"4";"3";"Nunca";"A veces";"A veces";"A veces";"Nunca";"A veces";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"A veces";"A veces";"Frecuentemente";"Nunca";"Frecuentemente";"Nunca";"Nunca";"2";"3";"4";"2";"6";"6";"6";"3";"3";21;"Hombre";"Universitaria incompleta";"Alto Hospicio";"Trabador dependiente/Estudiante";"Entre $250.000 y $499.999"
"13/11/2019 16:04:50";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Frecuentemente";"Siempre";"Siempre";"A veces";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"4";"7. Alta prioridad";"6";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema de reparto";"1. Nada de confianza";"1. Nada de confianza";"2";"2";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"2";"2";"1. Nada de confianza";"6";"2";"7. Mucha confianza";"7. Mucha confianza";"5";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Siempre";"Nunca";"Nunca";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"1. Nada de confianza";"1. Nada de confianza";"2";"1. Nada de confianza";"1. Nada de confianza";"5";"6";"3";"6";22;"Mujer";"Universitaria incompleta";"Iquique";"Trabajador/a dependiente";"menos de $249.999"
"13/11/2019 16:09:53";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"Frecuentemente";"Frecuentemente";"Siempre";"Frecuentemente";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"6";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Sistema mixto";"1. Nada de confianza";"1. Nada de confianza";"2";"2";"2";"3";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"2";"1. Nada de confianza";"2";"4";"5";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Siempre";"Nunca";"Nunca";"Frecuentemente";"Frecuentemente";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"1. Nada de confianza";"2";"2";"2";"6";"6";"6";"6";"6";32;"Mujer";"Universitaria completa";"Iquique";"Trabajador/a dependiente";"Entre $1.000.000 y $1.249.999"
"13/11/2019 16:15:25";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"Nunca";"Frecuentemente";"Frecuentemente";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"De acuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"Convención Constituyente (fórmula mixta)";"Sistema mixto";"1. Nada de confianza";"1. Nada de confianza";"3";"3";"3";"3";"3";"3";"3";"4";"3";"4";"3";"3";"4";"4";"Frecuentemente";"A veces";"A veces";"A veces";"A veces";"Nunca";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"A veces";"Frecuentemente";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"1. Nada de confianza";"1. Nada de confianza";"5";"4";"4";"4";"4";"5";"6";44;"Hombre";"Universitaria completa";"Iquique";"Trabajador/a independiente";"Entre $750.000 y $999.999"
"13/11/2019 16:15:30";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Frecuentemente";"Siempre";"Siempre";"Nunca";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Cuenta individual";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"6";"6";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"1. Nada de confianza";"2";"3";"4";"5";"1. Nada de confianza";"7. Mucha confianza";"6";"6";19;"Mujer";"Enseñanza media completa";"Alto Hospicio";"Trabajador/a dependiente";"Entre $250.000 y $499.999"
"13/11/2019 16:17:43";"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"A veces";"A veces";"Frecuentemente";"A veces";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"5";"4";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"6";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Cuenta individual";"1. Nada de confianza";"2";"2";"2";"2";"2";"2";"1. Nada de confianza";"3";"4";"1. Nada de confianza";"4";"2";"4";"4";"4";"A veces";"A veces";"A veces";"A veces";"A veces";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"A veces";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"A veces";"A veces";"A veces";"1. Nada de confianza";"3";"5";"5";"5";"5";"5";"6";"6";40;"Hombre";"Educación Técnica completa";"Iquique";"Trabajador/a dependiente";"Entre $500.000 y $749.999"
"13/11/2019 16:24:06";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"De acuerdo";"De acuerdo";"A veces";"A veces";"A veces";"A veces";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"7. Alta prioridad";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"Asamblea Constituyente";"Cuenta individual";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"1. Nada de confianza";"4";"1. Nada de confianza";"2";"1. Nada de confianza";"1. Nada de confianza";"3";"7. Mucha confianza";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"1. Nada de confianza";"3";"6";"7. Mucha confianza";"7. Mucha confianza";"7. Mucha confianza";"7. Mucha confianza";"6";"7. Mucha confianza";27;"Mujer";"Enseñanza media completa";"Iquique";"Trabajador/a dependiente";"Entre $250.000 y $499.999"
